CLIENTE_ID,NOME,EMAIL,FONE,DESDE
1,Dori Checo,dcheco0@exblog.jp,6845209461,2015-08-25
2,Farris Mournian,fmournian1@java.com,9986509914,2003-03-08
3,Ceciley Legg,clegg2@accuweather.com,2015924203,2007-08-22
4,Auguste Gaskin,agaskin3@alibaba.com,2616175486,2019-03-04
5,Megen Annice,mannice4@buzzfeed.com,4115179912,2002-01-04
6,Donelle Castellan,dcastellan5@alexa.com,6639475150,2010-06-12
7,Byrle Soppit,bsoppit6@imdb.com,5654760847,2009-06-28
8,Juditha Ibanez,jibanez7@cnn.com,9499257747,2000-10-01
9,Clerc Pelos,cpelos8@imgur.com,4402809518,2005-08-18
10,Berkly Bissell,bbissell9@addthis.com,1511522681,2008-01-25
11,Morna Ruddle,mruddlea@paypal.com,3095453894,2021-10-20
12,Joli Santon,jsantonb@abc.net.au,7809756986,2014-02-04
13,Desi Ambrus,dambrusc@guardian.co.uk,2386827006,2020-11-01
14,Ingmar Stirley,istirleyd@flickr.com,3363300432,2002-02-10
15,Avram Oats,aoatse@dedecms.com,7198694927,2000-05-20
16,Giana Crommett,gcrommettf@symantec.com,3993565826,2020-05-24
17,Terence Shakelady,tshakeladyg@wordpress.org,1038441902,2006-12-22
18,Sammie Perassi,sperassih@illinois.edu,2495076548,2018-03-07
19,Terence Edwicker,tedwickeri@yellowpages.com,1775232277,2014-06-13
20,Murvyn Mager,mmagerj@stumbleupon.com,8368086808,2000-10-19
21,Jeanna Najera,jnajerak@google.cn,1657207281,2017-05-14
22,Barbabra Scudders,bscuddersl@blogger.com,4483477737,2005-11-08
23,Travers Fettiplace,tfettiplacem@cisco.com,9911947837,2021-12-25
24,Derwin Winsom,dwinsomn@biblegateway.com,9527080682,2005-04-01
25,Nike Spoward,nspowardo@cisco.com,8607539021,2018-08-07
26,Edik Umbert,eumbertp@loc.gov,3356609478,2020-07-28
27,Ara Dutson,adutsonq@liveinternet.ru,5115417769,2019-06-03
28,Merl Fyldes,mfyldesr@rediff.com,5246794046,2017-03-17
29,Margalo Kunrad,mkunrads@wiley.com,4154997711,2000-07-03
30,Ursola Eixenberger,ueixenbergert@github.com,9004539335,2020-11-14
31,Manny Seak,mseaku@go.com,4375812664,2015-05-01
32,Slade Skinley,sskinleyv@seesaa.net,2647121921,2011-12-18
33,Ced Gunter,cgunterw@hexun.com,9063042238,2013-02-08
34,Tomasina Yegorev,tyegorevx@gnu.org,8784338747,2019-02-01
35,Cassandra Exter,cextery@wordpress.org,1435996604,2020-08-23
36,Elston Connah,econnahz@sciencedirect.com,7351428138,2016-06-27
37,Rochella Creser,rcreser10@usa.gov,4009945016,2009-10-02
38,Lianne McCard,lmccard11@biblegateway.com,6174816742,2013-10-24
39,Wally Pawelczyk,wpawelczyk12@photobucket.com,8012202353,2002-08-18
40,Broderic Connett,bconnett13@gizmodo.com,3426152121,2021-09-03
41,Zia Humber,zhumber14@miibeian.gov.cn,6725160001,2017-06-15
42,Thayne Brolechan,tbrolechan15@china.com.cn,5265998952,2021-10-08
43,Shir Gytesham,sgytesham16@nationalgeographic.com,9302428000,2004-05-16
44,Gil Tuminelli,gtuminelli17@si.edu,7904435526,2019-03-24
45,Davidde Berryann,dberryann18@instagram.com,3834143792,2001-07-17
46,Abe O'Hara,aohara19@msn.com,7593215930,2004-03-24
47,Bartholomew Millan,bmillan1a@prweb.com,1589211772,2013-09-26
48,Lurlene Ridolfo,lridolfo1b@1688.com,1613017412,2008-12-20
49,Elliott De Paoli,ede1c@dropbox.com,7993650185,2011-06-06
50,Carlyle Calliss,ccalliss1d@barnesandnoble.com,9333951393,2017-04-08
